06-05-500-0152577,Air,Teq,0.0003,1,kg,2007
03-03-03030273580,Water,Teq,0.000301,1,kg,2013
06-05-900-0014514,Air,Teq,0.000307,1,kg,2009
06-05-100-0209697,Air,Teq,0.000307,1,kg,2014
06-05-100-0209697,Air,Teq,0.00031,1,kg,2011
06-05-100-0209707,Air,Teq,0.00031299999999999996,1,kg,2014
03-03-03030273580,Water,Teq,0.000314,1,kg,2012
06-05-100-0209707,Air,Teq,0.00031600000000000004,1,kg,2012
06-05-900-0877505,Air,Teq,0.000317,1,kg,2010
06-04-11_2005382_5_0,Air,Teq,0.000328,1,kg,2013
06-05-100-0209697,Air,Teq,0.000328,1,kg,2009
06-08-3828859,Air,Teq,0.00032900000000000003,1,kg,2014
06-05-100-0006538,Air,Teq,0.00033,1,kg,2011
06-05-100-0209697,Air,Teq,0.000338,1,kg,2008
06-05-100-0209707,Air,Teq,0.000339,1,kg,2013
03-01-01244136460,Air,Teq,0.00033999999999999997,1,kg,2013
06-05-100-0388700,Air,Teq,0.00033999999999999997,1,kg,2009
06-05-100-0209707,Air,Teq,0.00033999999999999997,1,kg,2011
06-05-100-0209707,Air,Teq,0.000343,1,kg,2015
06-05-100-0209697,Air,Teq,0.00034700000000000003,1,kg,2007
06-05-100-0006538,Air,Teq,0.00035,1,kg,2010
07-01-159368,Air,Teq,0.00035,1,kg,2012
06-08-3828859,Air,Teq,0.00035,1,kg,2015
06-05-100-0209697,Air,Teq,0.00035499999999999996,1,kg,2015
06-05-900-0877505,Air,Teq,0.000361,1,kg,2011
03-09-09281734280,Water,Teq,0.000364,1,kg,2011
03-01-01244136460,Air,Teq,0.00037,1,kg,2010
06-05-100-0209697,Air,Teq,0.00037,1,kg,2010
07-01-159368,Air,Teq,0.00037,1,kg,2013
06-05-100-0209707,Air,Teq,0.000375,1,kg,2008
03-03-03030273580,Water,Teq,0.000381,1,kg,2007
06-05-900-0877505,Air,Teq,0.000397,1,kg,2007
06-00201010412,Air,Teq,0.00041,1,kg,2007
06-05-100-0209707,Air,Teq,0.000424,1,kg,2007
06-08-3828859,Air,Teq,0.00044,1,kg,2012
12-30670480000,Air,Teq,0.00045,1,kg,2009
06-09-100-0135-0001,Water,Teq,0.00045,1,kg,2008
03-09-09281734280,Water,Teq,0.000454,1,kg,2009
06-04-11_2005382_5_0,Air,Teq,0.00045700000000000005,1,kg,2014
06-08-3828859,Air,Teq,0.00047000000000000004,1,kg,2011
06-05-100-0204710,Air,Teq,0.00047000000000000004,1,kg,2008
06-04-11_2005382_5_0,Air,Teq,0.0004769,1,kg,2009
03-09-09281734280,Water,Teq,0.000482,1,kg,2007
03-01-01244136460,Air,Teq,0.0005,1,kg,2011
06-08-3828859,Air,Teq,0.0005099999999999999,1,kg,2013
06-04-11_2005382_5_0,Air,Teq,0.000515,1,kg,2010
06-05-900-0877505,Air,Teq,0.000518,1,kg,2012
06-05-100-0388700,Air,Teq,0.00057,1,kg,2010
06-04-11_2005382_5_0,Air,Teq,0.000589,1,kg,2012
12-60510400000,Air,Teq,0.000607,1,kg,2010
12-30670480000,Air,Teq,0.00061,1,kg,2010
12-30670480000,Air,Teq,0.00061,1,kg,2012
06-05-100-0388700,Air,Teq,0.000637,1,kg,2011
12-60510400000,Air,Teq,0.000637,1,kg,2011
12-30670480000,Air,Teq,0.00065,1,kg,2013
12-30670480000,Air,Teq,0.00065,1,kg,2011
06-10-0078669,Air,Teq,0.000681,1,kg,2011
03-01-01211092310,Air,Teq,0.0007,1,kg,2013
03-01-01211092310,Air,Teq,0.0007,1,kg,2010
03-01-01211092310,Air,Teq,0.0007,1,kg,2011
06-05-100-0388700,Air,Teq,0.0007099999999999999,1,kg,2008
12-60510400000,Air,Teq,0.000755,1,kg,2013
12-60510400000,Air,Teq,0.000771,1,kg,2014
12-60510400000,Air,Teq,0.000778,1,kg,2015
03-01-01211092310,Air,Teq,0.0008,1,kg,2015
03-01-01211092310,Air,Teq,0.0008,1,kg,2014
