06-05-500-0338944,Ibbenbüren,Nordrhein-Westfalen,Steinkohle,Ja,1985,1985,794.0,in Betrieb,1,RWE AG
06-08-2797933,Rheinhafen-Dampfkraftwerk,Baden-Württemberg,Steinkohle,Ja,2014,1984,1737.0,in Betrieb,4,EnBW AG
03-01-01010157480,HKW-Mitte,Niedersachsen,Steinkohle,Ja,1984,1984,43.3,in Betrieb,1,Braunschweiger Versorgungs-AG & Co. KG
06-05-300-0890760,Kessel 4,Nordrhein-Westfalen,Braunkohle,Ja,1983,1983,9.3,in Betrieb,1,Papierfabrik Schoellershammer H. A. Schoeller Söhne GmbH & Co KG
06-10-00100999,Kraftwerk Bexbach,Saarland,Steinkohle,Nein,1983,1983,726.0,Gesetzlich an Stilllegung gehindert,1,STEAG GmbH
06-10-00101000,Heizkraftwerk,Saarland,Steinkohle,Ja,1989,1982,390.0,in Betrieb,2,Steag GmbH
06-05-100-0431554,KW Voerde,Nordrhein-Westfalen,Steinkohle,Nein,1985,1982,1390.0,stillgelegt,2,RWE AG
06-76400010631,Kraftwerk 3,Hessen,Erdgas,Ja,2012,1982,33.7,in Betrieb,2,Papierfabrik Adolf Jass GmbH & Co. KG
06-09-500-0112-0001,HKW Erlangen,Bayern,Steinkohle,Ja,2014,1982,45.7,in Betrieb,3,Erlanger Stadtwerke AG
06-08-1195689,Restmüll-Heizkraftwerk Stuttgart-Münster,Baden-Württemberg,Steinkohle,Ja,1984,1982,90.0,in Betrieb,2,EnBW AG
06-11-01-1105501,Klingenberg,Berlin,Erdgas,Ja,1981,1981,164.0,in Betrieb,1,Vattenfall GmbH
12-40710010000,KW Jänschwalde,Brandenburg,Braunkohle,Ja,1989,1981,2790.0,in Betrieb,6,Lausitz Energie Kraftwerke AG
06-05-900-0205103,Bergkamen,Nordrhein-Westfalen,Steinkohle,Nein,1981,1981,717.0,in Betrieb,1,RWE AG
06-09-100-0088-0005,Süd DT60,Bayern,Erdgas,Ja,2004,1980,651.9,in Betrieb,6,SWM Services GmbH
06-09-171-0009-0B01,Burghausen 01 - DT,Bayern,Erdgas,Ja,2001,1979,170.0,in Betrieb,2,Wacker Chemie AG
14-70-46630660001,Boxberg,Sachsen,Braunkohle,Ja,2012,1979,2427.0,in Betrieb,4,Lausitz Energie Kraftwerke AG
18037,Grubenheizkraftwerk,Sachsen-Anhalt,Braunkohle,Ja,1979,1979,45.0,in Betrieb,1,ROMONTA GmbH
03-01-01010098080,KWM,Niedersachsen,Steinkohle,Nein,1979,1979,690.0,in Betrieb,1,Stadtwerke Hannover AG
06-04-11_2001178_8_0,KW Hastedt,Bremen,Steinkohle,Ja,2014,1979,422.0,in Betrieb,2,swb Erzeugung AG & Co. KG
01-50-01000004838,Heizkraftwerk FL,Schleswig-Holstein,Steinkohle,Ja,2016,1978,233.0,in Betrieb,6,Stadtwerke Flensburg GmbH
07-04-6021280,Kraftwerk Mainz,Rheinland-Pfalz,Erdgas,Ja,2000,1976,769.2,,2,Kraftwerke Mainz-Wiesbaden AG
03-09-09281566110,Wilhelmshaven,Niedersachsen,Steinkohle,Nein,1976,1976,757.0,in Betrieb,1,Uniper SE
06-10-00101003,Weiher,Saarland,Steinkohle,Ja,1976,1976,655.6,Gesetzlich an Stilllegung gehindert,1,Steag GmbH
06-11-01-1105603,Charlottenburg,Berlin,Erdgas,Ja,1975,1975,144.0,in Betrieb,1,Vattenfall GmbH
06-05-100-0167182,GuD,Nordrhein-Westfalen,Erdgas,Ja,2016,1974,1119.4,in Betrieb,5,Stadtwerke Düsseldorf AG
06-05-900-0865327,Gersteinwerk,Nordrhein-Westfalen,Steinkohle,Nein,1984,1973,2011.0,in Betrieb,9,RWE AG
03-10-10257673950,Emsland,Niedersachsen,Erdgas,Ja,2010,1973,1837.0,in Betrieb,5,RWE AG
06-09-500-0368-0001,Franken 1,Bayern,Erdgas,Nein,1976,1973,823.0,in Betrieb,2,Uniper SE
03-06-06254353820,Landesbergen Gas,Niedersachsen,Erdgas,Nein,1973,1973,487.0,in Betrieb,2,Statkraft Markets GmbH
03-04-04224004080,Emden Gas,Niedersachsen,Erdgas,Nein,1973,1973,485.0,in Betrieb,2,Statkraft Markets GmbH
06-05-100-0248923,Neurath,Nordrhein-Westfalen,Braunkohle,Ja,2012,1972,4211.0,in Betrieb,7,RWE AG
