12-30532000000,BNA0284,Brandenburg,Braunkohle,1997,Ja,Heizkraftwerk FFO,45.0,in Betrieb,,Stadtwerke Frankfurt (Oder) GmbH
07-05-8290552,BNA0615,Rheinland-Pfalz,Erdgas,1997,Ja,Kraftwerk Süd,410.0,in Betrieb,,BASF SE
06-08-1741292,BNA0015,Baden-Württemberg,Erdgas,1997,Ja,Heizkraftwerk Altbach/Deizisau,65.0,in Betrieb,,EnBW AG
,BNA0255,Thüringen,Erdgas,1996,Ja,HKW Iderhoffstraße,11.0,in Betrieb,,SWE Energie GmbH
03-10-10257401440,BNA1509,Niedersachsen,Erdgas,1996,Ja,BP Werk Lingen,66.0,in Betrieb,,BP Europa SE
06-05-300-0215520,BNA1279,Nordrhein-Westfalen,Erdgas,1996,Ja,Gasturbine,51.9,in Betrieb,,Basell Polyolefine GmbH
,BNA0702,Bayern,Erdgas,1996,Ja,Cogeneration,25.4,Sonderfall,,Bayernoil Raffineriegesellschaft mbH
07-05-8030815,BNA0510b,Rheinland-Pfalz,Steinkohle,1996,Ja,HKW Karcherstr.,13.4,in Betrieb,,SWK - Stadtwerke Kaiserslautern
12358,BNA0878,Sachsen-Anhalt,Braunkohle,1996,Ja,Schkopau,450.0,in Betrieb,,Uniper SE
12358,BNA0879,Sachsen-Anhalt,Braunkohle,1996,Ja,Schkopau,450.0,in Betrieb,,Uniper SE
18042,BNA1089,Sachsen-Anhalt,Erdgas,1996,Ja,Zielitz,52.0,in Betrieb,,K+S AG
16-30-31400103005,BNA0343,Thüringen,Erdgas,1996,Ja,Heizkraftwerk Gera-Nord,74.0,in Betrieb,,Energieversorgung Gera GmbH
14326,BNA0922,Sachsen-Anhalt,Erdgas,1996,Ja,GuD-Ikw Staßfurt,123.0,in Betrieb,,CIECH Energy Deutschland GmbH
,BNA0504,Thüringen,Erdgas,1996,Ja,HKW Jena,182.0,in Betrieb,,Thüringer Energie AG
06-11-01-1105503,BNA0073,Berlin,Erdgas,1996,Ja,Mitte,444.0,in Betrieb,,Vattenfall GmbH
06-05-900-0235121,BNA0156b,Nordrhein-Westfalen,Erdgas,1996,Ja,Egger Kraftwerk Brilon,13.5,in Betrieb,,Egger Holzwerkstoffe Brilon GmbH & Co. KG
,BNA0360,Mecklenburg-Vorpommern,Erdgas,1996,Ja,"HKW ""Helmshäger Berg""",14.7,in Betrieb,,Energieerzeugungsgesellschaft Greifswald GmbH
13-30-2102110,BNA0848,Mecklenburg-Vorpommern,Erdgas,1996,Ja,GuD Marienehe,108.0,in Betrieb,,Stadtwerke Rostock AG
,BNA0814,Brandenburg,Erdgas,1996,Ja,HKW Potsdam-Süd,81.8,in Betrieb,,Energie und Wasser Potsdam GmbH
14326,BNA0922a,Sachsen-Anhalt,Erdgas,1996,Ja,GuD-Ikw Staßfurt,9.0,stillgelegt,2015,CIECH Energy Deutschland GmbH
14-30-55047380000,BNA0588,Sachsen,Erdgas,1996,Ja,Heizkraftwerk Leipzig-Nord,167.0,in Betrieb,,Stadtwerke Leipzig GmbH
12110,BNA0194,Sachsen-Anhalt,Braunkohle,1996,Ja,Kraftwerk Dessau,49.0,in Betrieb,,Kraftwerk Dessau GmbH
06-05-300-0181417,BNA1293a,Nordrhein-Westfalen,Braunkohle,1995,ja,Kraftwerk,10.0,vorläufig stillgelegt,,Martinswerk GmbH
,BNA0755b,Bayern,Erdgas,1995,Ja,Obernburg,64.0,in Betrieb,,Kraftwerk Obernburg GmbH
,BNA1444d,Bayern,Erdgas,1995,ja,GT4 ,5.1,in Betrieb,,Prinovis GmbH & Co. KG
,BNA1264,Thüringen,Erdgas,1995,Ja,HKW Bohrhügel,13.5,in Betrieb,,Stadtwerke Suhl/Zella-Mehlis GmbH
,BNA1402,Niedersachsen,Erdgas,1995,ja,Heizkraftwerk zur Papierfabrik,18.1,in Betrieb,,Delkeskamp Verpackungswerke GmbH
06-05-100-0990908,BNA0753,Nordrhein-Westfalen,Erdgas,1995,Ja,HKW 2,24.5,in Betrieb,,Energieversorgung Oberhausen AG
,BNA0207,Sachsen,Erdgas,1995,Ja,HKW Dresden-Nossener Brücke,260.0,in Betrieb,,DREWAG Stadtwerke Dresden GmbH
06-05-100-0387357,BNA1332,Nordrhein-Westfalen,Erdgas,1995,Ja,INEOS Kraftwerk,24.0,in Betrieb,,INEOS Solvents Germany GmbH
06-05-100-0018507,BNA0556b,Nordrhein-Westfalen,Erdgas,1995,Ja,KWK-Anlage Krefeld VM,14.0,in Betrieb,,Cargill Deutschland GmbH
