KraftwerkID;BlockID;Unternehmen;Kraftwerksname;PLZ;Ort;Straße und Hausnummer;Bundesland;Blockname;"Inbetriebnahme
(Jahr)";Status;Energieträger;"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
06-08-2797933;BNA0518a;EnBW Energie Baden-Württemberg AG;Rheinhafen-Dampfkraftwerk;76189;Karlsruhe;Fettweisstraße 42;Baden-Württemberg;RDK 7;1985;in Betrieb;Steinkohle;Nein;Ja;505.0;Daxlanden;380;Transnet BW GmbH
06-09-100-0003-0003;BNA1093;ENGIE Deutschland AG;Zolling;85406;Zolling;Leininger Str. 1;Bayern;Zolling Block 5;1986;in Betrieb;Steinkohle;Nein;Ja;472.0;Feld 1 / LS 275;220;TenneT TSO GmbH 
14-70-46630660001;BNA0122;Vattenfall Europe Generation AG;Boxberg;2943;Boxberg;Kraftwerksstraße;Sachsen;N;1979;in Betrieb;Braunkohle;Nein;Ja;465.0;Bärwalde;380;50Hertz Transmission GmbH
14-70-46630660001;BNA0123;Vattenfall Europe Generation AG;Boxberg;2944;Boxberg;Kraftwerksstraße;Sachsen;P;1980;in Betrieb;Braunkohle;Nein;Ja;465.0;Bärwalde;380;50Hertz Transmission GmbH
12-40710010000;BNA0785;Vattenfall Europe Generation AG;KW Jänschwalde;3185;Peitz;Kraftwerksstraße;Brandenburg;A;1981;in Betrieb;Braunkohle;Nein;Ja;465.0;Preilack;380;50Hertz Transmission GmbH
12-40710010000;BNA0786;Vattenfall Europe Generation AG;KW Jänschwalde;3185;Peitz;Kraftwerksstraße;Brandenburg;B;1982;in Betrieb;Braunkohle;Nein;Ja;465.0;Preilack;380;50Hertz Transmission GmbH
12-40710010000;BNA0787;Vattenfall Europe Generation AG;KW Jänschwalde;3185;Peitz;Kraftwerksstraße;Brandenburg;C;1984;in Betrieb;Braunkohle;Nein;Ja;465.0;Preilack;380;50Hertz Transmission GmbH
12-40710010000;BNA0788;Vattenfall Europe Generation AG;KW Jänschwalde;3185;Peitz;Kraftwerksstraße;Brandenburg;D;1985;in Betrieb;Braunkohle;Nein;Ja;465.0;Preilack;380;50Hertz Transmission GmbH
12-40710010000;BNA0789;Vattenfall Europe Generation AG;KW Jänschwalde;3185;Peitz;Kraftwerksstraße;Brandenburg;E;1987;in Betrieb;Braunkohle;Nein;Ja;465.0;Preilack;380;50Hertz Transmission GmbH
12-40710010000;BNA0790;Vattenfall Europe Generation AG;KW Jänschwalde;3185;Peitz;Kraftwerksstraße;Brandenburg;F;1989;in Betrieb;Braunkohle;Nein;Ja;465.0;Preilack;380;50Hertz Transmission GmbH
12358;BNA0878;Uniper Kraftwerke GmbH ;Schkopau;6258;Schkopau;;Sachsen-Anhalt;A;1996;in Betrieb;Braunkohle;Nein;Ja;450.0;Bad Lauchstedt;380;50Hertz Transmission GmbH
12358;BNA0879;Uniper Kraftwerke GmbH ;Schkopau;6258;Schkopau;;Sachsen-Anhalt;B;1996;in Betrieb;Braunkohle;Nein;Ja;450.0;Bad Lauchstedt;380;50Hertz Transmission GmbH/DB Energie GmbH
06-05-900-0327252;BNA0450;Steag GmbH;KW Herne;44655;Herne;Hertener Str. 16;Nordrhein-Westfalen;Herne 4;1989;in Betrieb;Steinkohle;Nein;Ja;449.0;220 kV Schaltanlage Bochum;220;Amprion GmbH
06-08-2948214;BNA0646a;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestraße 1;Baden-Württemberg;Block 8;1993;in Betrieb;Steinkohle;Nein;Ja;435.0;"Transnet BW (220kV) Einspeisepunkt 220 kV Neckarau und 220 kV Altlußheim,
Pfalzwerke Netzgesellschaft 220 kV Mutterstadt (Rhein N, Rhein S), 110 kV Mutterstadt Waldmühle N, Waldmühle S
Netrion diverse 110 kV und 10 kV Anschlüsse";220/110/10;Transnet BW, Pfalzwerke Netzgesellschaft, Netrion, DB Energie GmbH
06-08-1741292;BNA0020;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestraße 11;Baden-Württemberg;ALT HKW 1;1985;in Betrieb;Steinkohle;Nein;Ja;433.0;Altbach;380;Transnet BW GmbH
06-08-2948214;BNA0645;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestraße 1;Baden-Württemberg;Block 7;1982;in Betrieb;Steinkohle;Nein;Ja;425.0;"Transnet BW (220kV) Einspeisepunkt 220 kV Neckarau und 220 kV Altlußheim,
Pfalzwerke Netzgesellschaft 220 kV Mutterstadt (Rhein N, Rhein S), 110 kV Mutterstadt Waldmühle N, Waldmühle S
Netrion diverse 110 kV und 10 kV Anschlüsse";220/110/10;Transnet BW, Pfalzwerke Netzgesellschaft, Netrion, DB Energie GmbH
06-05-100-0365906;BNA0216a;Steag GmbH;KW Walsum;47180;Duisburg;Dr. Wilhelm-Roelen-Str.129;Nordrhein-Westfalen;Walsum 9;1988;in Betrieb;Steinkohle;Nein;Ja;370.0;220 kV Schaltanlage Walsum;220;Amprion GmbH
;BNA0439;Helmstedter Revier GmbH;Buschhaus;38350;Helmstedt;;Niedersachsen;D;1985;Sicherheitsbereitschaft;Braunkohle;Nein;Nein;352.0;Helmstedt;380;TenneT TSO GmbH 
